"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,"280510",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280511",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280512",NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280513",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280514",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280515",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280516",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280517",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280518",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280519",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280520",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280521",NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280522",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280523",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280524",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280525",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280526",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280527",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280528",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280529",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280530",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280531",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280601",NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280602",NA,"",NA,"",26,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280603",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280604",NA,"",NA,"",353,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280605",NA,"",NA,"",517,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280606",NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280607",NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280608",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280609",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280610",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280611",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280612",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280613",NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280614",NA,"",NA,"",32,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280615",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280616",NA,"",NA,"",27,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280617",NA,"",NA,"",25,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280618",NA,"",NA,"",24,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280619",NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280620",NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280621",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280622",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280623",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280624",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280625",NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280626",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280627",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280628",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280629",NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280630",NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280701",NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280702",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280703",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280704",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280705",NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280706",NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280707",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280708",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280709",NA,"",NA,"",9.8,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280710",NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280711",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280712",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280713",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280714",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280715",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280716",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
